# ABR corpus record ledger — ANALYST-published derived artifact.
#
# Derived from the licensed .abr fixture corpus described in
# thoughts/docs/paged/plugin-image/abr-brush-format-spec.md §13.3, by an
# ANALYST-role session under the clean-room two-role protocol (plugin-
# image/CLAUDE.md §3.1). Contains only FACTS ABOUT BEHAVIOUR — counts, key
# names, OSTypes, unit codes, dimensions and cryptographic digests. It
# contains no corpus bytes, no third-party artwork, and nothing derived from
# the reference implementation mounted at references/ag-psd. IMPLEMENTER-
# LEGAL: consuming this file is not reading references/.
#
# One row per sampled-tip record, in file order. `sha256` is the SHA-256
# of the DECODED coverage mask (row-major, one byte per pixel, exactly
# w*h bytes, NOT inverted). `png_oracle` names the independently
# published transparent PNG whose ALPHA CHANNEL hashes to the same
# value — the artefact that settles polarity (spec §2.5).
#
# A digest is a one-way function of the artwork: it pins the decode
# exactly while carrying none of the picture. That is what makes this
# file publishable where the corpus itself is gitignored.
#
# Regenerate: ANALYST role only, with references/abr-fixtures/ mounted.
#
file	index	id	declared_len	pad_len	array_count	written_planes	top	left	bottom	right	w	h	depth	compression	decoded_bytes	sha256	png_oracle
agpsd-sample-and-pattern.abr	0	a8f34db0-4814-634e-807c-c61aecde18fd	7807	1	56	1	1	2	106	114	112	105	8	1	11760	7058e33e8cf536026bb86ef28dc7bcf3f19e1595d81368f5603603ad566b32db	
agpsd-special.abr	0	80b60ae0-c4b0-11d5-869d-ee7a7e70f1aa	718	2	56	1	195	295	215	318	23	20	8	1	460	0bf75dd30f2216766a7b73f911f089a68dda20df7b9638fc6f94e4b7888090af	
kma-hogenburg-urban-cartography-brushes.abr	0	f72f1704-9385-6b4f-bd8b-976b00bafbe2	67039	1	56	1	2064	2368	2489	2725	357	425	8	1	151725	1c582ba221a16d335fcf1869269d8aca1358ad8f83585b726d5cbe2d69515c8c	
kma-hogenburg-urban-cartography-brushes.abr	1	1db5089d-d1bb-244e-9220-6f3ba0109edf	1763	1	56	1	1599	1037	1656	1088	51	57	8	1	2907	2c19f7d188f9c3e99ec9276db1c7c9147aa3e89472bdcfc2ac5af465cc62026e	
kma-hogenburg-urban-cartography-brushes.abr	2	305405bb-f4f2-234f-b37d-c7e683d1fc52	1788	0	56	1	1599	1077	1653	1120	43	54	8	1	2322	bf9da955d529f8841ab8a8212bfe42dee1975ec7095e7fc970cb827913cdec50	
kma-hogenburg-urban-cartography-brushes.abr	3	4231ad52-cfe9-924a-baba-39d6b9609c79	3271	1	56	1	1658	1023	1723	1100	77	65	8	1	5005	c8c03ab8c08b78d9577fc373bb7afcb8d0d91892dfd7d16f01fbf02e39c7c7a8	
kma-hogenburg-urban-cartography-brushes.abr	4	8db4cbbc-df7f-b841-936f-99ea17879d37	3742	2	56	1	1476	1456	1608	1513	57	132	8	1	7524	17c9dca20270d7674ceaec2c11d36c46d94d675b67276181b5ef66065afd6e7b	
kma-hogenburg-urban-cartography-brushes.abr	5	791e9dc8-8708-824e-81f6-75d7cf2a0b14	3105	3	56	1	1377	1459	1481	1511	52	104	8	1	5408	af1c018c5dc650ba84025efc056af492e4a17c25a49db5a29089f73ed8457f40	
kma-hogenburg-urban-cartography-brushes.abr	6	adcdc131-cf50-bb47-b2f7-4582bca8e236	3585	3	56	1	1261	1460	1377	1510	50	116	8	1	5800	353fc374f910bb281249d850e0065aa283145f2d46aeb47d4edda3c4bc94a2ac	
kma-hogenburg-urban-cartography-brushes.abr	7	6e1fc8f5-3322-6849-84de-1302041c64a3	4203	1	56	1	1505	1114	1638	1176	62	133	8	1	8246	704540b70dc11466af9f9f967defd1217f7599832723a1c5e1e345857b62747f	
kma-hogenburg-urban-cartography-brushes.abr	8	c5fba44b-b15e-524a-986c-54263e4c8b46	4129	3	56	1	1357	1125	1505	1160	35	148	8	1	5180	746100fe9696c6ecc4bae8e8f4973b515392ce924d41a2f96cb409dc16877cc3	
kma-hogenburg-urban-cartography-brushes.abr	9	4308d1c6-e5ce-fd48-89de-8983ce0cdcaa	3887	1	56	1	1232	1239	1357	1298	59	125	8	1	7375	8d7eca25b578304eccebf8c3348d16b46fe1d712a42a2aac2b3d59b55cbe395f	
kma-hogenburg-urban-cartography-brushes.abr	10	443e2124-9baa-564b-97b7-8424c9fe90b5	4474	2	56	1	3402	369	3494	456	87	92	8	1	8004	1f85152b2013206ad206e9950e76b16ae18c13c2e71442a2e4498d295cbab930	
kma-hogenburg-urban-cartography-brushes.abr	11	bc01642d-7aed-9e47-af60-8f29493c6367	5962	2	56	1	2544	369	2641	502	133	97	8	1	12901	14b47a81a720b23b390d1a083c234d4c10e4cf9f60600cdd297aedc675d23830	
kma-hogenburg-urban-cartography-brushes.abr	12	86db6b54-355c-e744-bc3f-f949db78845b	5588	0	56	1	2544	528	2649	631	103	105	8	1	10815	d626b6ab53f30f6fdd79c1201085ecdd1f4eac97812a69e8c6e7e84a2b7c4e96	
kma-hogenburg-urban-cartography-brushes.abr	13	0c2de079-66c7-9b41-9ea5-a0ee1d59149f	15863	1	56	1	2915	207	3091	488	281	176	8	1	49456	b95d5466b9ab7eb3afaeb372f861714e508350b365093a12fcee432ee6c6093d	
